Associated Gene Name	Ensembl Gene ID	CD4 naive	CD4 tcr	CD4 Th1	CD8 tcr	CD8 naive
Brd7	ENSMUSG00000031660	3179	23163	16929	14491	8017
Snx20	ENSMUSG00000031662	22317	4974	38011	28535	9795
Rbl2	ENSMUSG00000031666	6894	2951	7642	2586	9670
Aktip	ENSMUSG00000031667	594	2915	867	4277	517
Eif2ak3	ENSMUSG00000031668	132	443	2037	563	79
Setd6	ENSMUSG00000031671	1320	1124	2244	14569	50
Got2	ENSMUSG00000031672	360706	574366	1379196	1096793	358886
Smad1	ENSMUSG00000031681	3366	3591	6718	14816	3738
Lsm6	ENSMUSG00000031683	189082	19735	305565	124907	46859
Tnpo2	ENSMUSG00000031691	7881	14085	43538	56643	12137
Vps35	ENSMUSG00000031696	71199	142573	249851	196082	71005
Orc6	ENSMUSG00000031697	1010	11472	21186	124061	1730
Dnaja2	ENSMUSG00000031701	165104	545597	771192	2289633	261825
Itfg1	ENSMUSG00000031703	47	571	3081	6321	289
Rfx1	ENSMUSG00000031706	12044	9107	17992	27021	11497
Tecr	ENSMUSG00000031708	103594	111258	313038	146691	155446
Smarca5	ENSMUSG00000031715	115629	334795	488149	713284	169021
Txnl4b	ENSMUSG00000031723	60	1847	8242	537	2660
Ist1	ENSMUSG00000031729	15384	10952	58823	104773	49951
